Brand,Interval_Week,Sample_Count,Avg_MPI,Sigma_Randomness,Avg_Heat
Samsung,64,17.0,0.41281184751321287,0.23148912094844962,0.2946242508204544
Samsung,65,14.0,0.46441846234457834,0.23251161227154432,-0.035986510770661506
Samsung,66,15.0,0.5431228955586751,0.10810219751612846,0.2204545712719361
Samsung,67,21.0,0.49011425288128,0.20476632446214413,0.02481204289056005
Samsung,68,25.0,0.4785179208451882,0.20106408592830602,0.18790482483804227
Samsung,69,18.0,0.5050842041770617,0.13842297809578677,0.24052165697018305
Samsung,70,11.0,0.5620202801444314,0.09783419532460184,0.12152980064803899
Samsung,71,33.0,0.5421145472562674,0.1593970023704179,0.1462191849043875
Samsung,72,22.0,0.528378673913804,0.18278686789894683,0.20598395507444034
Samsung,73,31.0,0.44759067316209117,0.2322914628824683,-0.0318862955656744
Samsung,74,28.0,0.562446945479938,0.1097101457255761,0.03577593780521835
Samsung,75,39.0,0.3865690363618808,0.24336440661174125,0.23873770198760888
Samsung,76,46.0,0.4323489692305093,0.21382299949772174,0.048615889785730323
Samsung,77,28.0,0.4723585612539734,0.1851991310054576,0.16022629071293132
Samsung,78,32.0,0.392526734911371,0.21878567939583826,0.16945461928844452
Samsung,79,30.0,0.49871561601758,0.17872105409810266,0.2599030425151189
Samsung,80,34.0,0.45581167607622985,0.20062220321352517,0.07277453460675828
Samsung,81,27.0,0.5239167643917931,0.1262047314088715,0.1090846100339183
Samsung,82,40.0,0.4136302851722576,0.20834166733337608,0.29687381256371737
Samsung,83,38.0,0.5382692485459541,0.16306115587776285,0.23425360925887762
Samsung,84,51.0,0.4617251634743868,0.20459111564848972,0.12545102805483574
Samsung,85,51.0,0.4376596094054334,0.20584347916194157,0.12733454038115108
Samsung,86,32.0,0.4453305620700121,0.18783353193637203,0.1823942163027823
Samsung,87,32.0,0.4935803273692727,0.19513344262670526,0.21785588294733316
Samsung,88,52.0,0.45440036029769826,0.18803185189092023,0.1084323340597061
Samsung,89,51.0,0.4175331037418515,0.21808567189053044,0.08700827377683976
Samsung,90,45.0,0.4255901271684302,0.20417357861664961,0.007591992368300746
Samsung,91,54.0,0.48281618041693475,0.18303952075172017,0.13737462723144778
Samsung,92,40.0,0.4361270884051919,0.2110400775116538,0.08882332881912589
Samsung,93,63.0,0.41393457628076985,0.23540462420837224,0.08585214898699806
Samsung,94,66.0,0.4986695565396186,0.17009146932469496,0.11684004990666201
Samsung,95,84.0,0.44291561331954743,0.21064652393509678,0.10464058290900928
Samsung,96,61.0,0.46550966125195387,0.20325391512852192,0.05232139530240511
Samsung,97,61.0,0.5002141867565816,0.17731713446803846,0.02500381174146152
Samsung,98,68.0,0.5171302857617026,0.16203968858393514,-0.01410728068474461
Samsung,99,36.0,0.5002370667126443,0.18096143090829378,0.06500135134491655
Samsung,100,44.0,0.5150884718380191,0.15933311986625653,0.1788009748032147
Samsung,101,23.0,0.5253709075243577,0.13875002100295303,0.027977972250917683
Samsung,102,27.0,0.48744022101163864,0.1628437039805106,0.1641211190985309
Samsung,103,34.0,0.47148845279041457,0.19398671293307201,0.21449637818424142
Samsung,104,37.0,0.5026578234659659,0.18021940457551752,0.22451791836804635
Samsung,105,36.0,0.4808033476066258,0.2297954613481515,-0.1123409953692721
Samsung,106,30.0,0.5053018194933733,0.14510511599315945,0.0010836046189069749
Samsung,107,30.0,0.5397571742534637,0.12356995273151514,0.014883224417765918
Samsung,108,48.0,0.46088480949401855,0.18707054669233178,-0.04002888104878367
Samsung,109,52.0,0.43482692652525234,0.2214274585666563,0.12002657128211397
Samsung,110,44.0,0.48723800700496545,0.19384110939492807,0.04023821440271355
Samsung,111,40.0,0.4994893781840801,0.19890132972712965,0.09910512501373887
Samsung,112,29.0,0.4238124210708614,0.21986717117855045,0.07028841432826273
Samsung,113,34.0,0.44271303852335275,0.22340166698542613,0.18961834458305554
Samsung,114,27.0,0.49880446631599357,0.18016297971701095,0.301497520878911
Samsung,115,18.0,0.42591098613209194,0.1940160710834219,0.1424718126654625
Samsung,116,21.0,0.4863041543534824,0.18669871479375083,0.0030119468768437744
Samsung,117,24.0,0.4771640272811055,0.18147855831315532,-0.046606158992896475
Samsung,118,36.0,0.4792760513826377,0.21763339648691918,-0.016483205267124705
Samsung,119,27.0,0.5312750822416058,0.1518452044811987,0.048784098139515626
Samsung,120,38.0,0.4687400319564499,0.18398372053275758,0.006127626390049332
Samsung,121,35.0,0.43644174560904503,0.21392176720792866,0.022319344218288153
Samsung,122,30.0,0.513461900750796,0.1711851777530121,-0.053359700739383696
Samsung,123,30.0,0.4887663791577021,0.1941496913587836,-0.0711860965937376
Samsung,124,35.0,0.47289586939982003,0.14695959421972513,0.2340718928192343
Samsung,125,36.0,0.5248058095781339,0.22327777696273263,0.26248573708451456
Samsung,126,19.0,0.4919557994917819,0.15603346421125439,0.0008230764222772487
Samsung,127,19.0,0.4324592167609616,0.22552262569627524,0.1069730841799786
Samsung,128,32.0,0.38050714042037725,0.21429719200166214,0.32231839769519866
Samsung,129,33.0,0.4525309624997052,0.20802941405374306,0.3701975933191451
Samsung,130,19.0,0.4542195083279359,0.1896047988123545,0.1251739024331695
Samsung,131,36.0,0.3513895882707503,0.2659524772992854,0.07107580722206168
Samsung,132,41.0,0.373410378878073,0.2469206965831074,0.06060642058529505
